title,content
2 104 Disputes concerning this provision may be referred directly to an expedited,"arbitration.  The sole issue in any such arbitration shall be whether the 
Employer violated the commitments set forth in paragraph 103 of the 
Agreement. If the Employer is found to have violated paragraph 103, the 
sole remedies shall be restoration of the status quo ante , and a make-
whole remedy for the affected bargaining unit nurses. The arbitrator shall 
issue a written decision within fourteen (14) days after conclusion of the 
hearing. No extensions shall be granted without mutual agreement. 
200 ARTICLE II – COVERAGE 
201 The Nurses covered by this Agreement are those Nurses who can legally 
practice as graduate Registered Nurses who are employed by the 
Employer to perform nursing service, including Interim Permittees, but 
excluding Nurses engaged in research activities or Nurses holding 
administrative or executive positions who have the authority to hire, 
discipline or discharge Nurses or other personnel, or to effectively 
recommend such action. 
300 ARTICLE III – ASSOCIATION SECURITY"
A – Required Membership,"301 It shall be a condition of employment that all Nurses of the Employer 
covered by this Agreement shall remain members of the Association in 
good standing and those who are not members on the execution date of 
this Agreement become and remain members in good standing of the 
Association. It shall also be a condition of employment that all employees 
covered by this Agreement and hired on or after its execution date shall, 
within thirty-one (31) days following the beginning of such employment, 
become and remain members in good standing in the Association. If a 
Nurse has a sincerely held religious belief that prohibits him or her from 
joining and maintaining membership in a union, s/he may elect to pay 
the amount equivalent to initiation fees and monthly dues to charity in lieu 
of payments to CNA by advising CNA in writing of his/her religious 
objection and making monthly donations in an amount equivalent to CNA 
dues to one or more of the following charities: American Heart Association, 
American Cancer Society, AIDS Foundation, Planned Parenthood, Doctors 
Without Borders, RN Response Network (RNRN), The Multiple Sclerosis 
Society, World Wildlife Fund, The Nature Conservancy and Heifer International 
Foundation. The Nurse must show proof to CNA of having made the 
contributions to charity in the amount of membership dues on a monthly 
basis.  If a Nurse who has elected to make charitable contributions in lieu 
of paying membership dues requests to CNA to use the grievance-
arbitration procedure on his/her behalf, CNA may charge the employee for 
the reasonable cost of using the procedure."
B – New Employee Notices,"302 At the time of employment, a copy of this Agreement shall be given 
by the Employer to each Nurse and specific attention shall be called to 
the obligation of this provision. The Employer shall also give to each 
Nurse at the time of employment the current Association form authorizing 
voluntary payroll deduction of monthly dues. Within thirty (30) days after 
the execution date of this Agreement, the Employer will provide the 
Association with a master list of all employed Nurses who are subject to 
the provisions of this Agreement giving the electronic data agreed to 
between the Parties. On or before the tenth (10th) of each month 
subsequent to the establishment of the master list, the Employer will forward 
to the Association the electronic data agreed to between the Parties."
C – New Employee Orientation,"303 The Union and Employer shall coordinate times for Association 
Representatives/Nurse Representatives (or designees) to meet with 
new bargaining unit members for one (1) hour during the New Employee 
Orientation period. The Employer will provide the Association 
Representative with New Employee Orientation schedules, subject to 
change, on an annual basis, and updates as they occur, including dates, 
times and locations of the sessions. Such time will be scheduled within the 
new employee orientation agenda. Local management will work with the 
Association to provide an area that is appropriate for the Association to 
meet with the new bargaining unit members. 
304 It is further understood that, should the Association designate a Nurse 
Representative to meet with new employees, the Nurse Representative’s 
time will be paid and the Nurse Representative will be released from 
work for the time needed to meet with employees, provided that the 
Nurse Representative gives his/her supervisor sufficient advance notice 
to enable the Employer to plan for operational and patient care needs. 
305 The Employer will make its best efforts to provide the Association with a list 
of the expected RN/NP participants in orientation at least 48 hours prior to 
the session."
D – Maintenance of Membership,"306 Employees who are required hereunder to maintain membership and fail to 
do so and employees who are required hereunder to join the Association 
and fail to do so, shall upon notice of such action in writing from the 
Association to the Employer and after counseling by the facility, be given 
fourteen (14) days' notice of termination or shall be allowed to resign with 
proper notice to the facility."
E – Payroll Deduction of Association Dues,"307 Written Assignment 
The Employer will deduct Association membership dues from the salary 
of each Nurse who voluntarily agrees to such deduction and who submits 
an appropriate written authorization to the Employer, setting forth standard 
amounts and times of deduction. Once signed, the authorization cannot be 
canceled for a period of one year from the date appearing on such written 
assignment or within a fifteen (15) day period prior to the termination date 
of the current Labor Agreement between the Employer and the 
Association, whichever occurs sooner. 
Remittance 
308 Deductions shall be made bi-weekly and remitted to the California Nurses 
Association."
F – Voluntary Political Education and Action Fund,"309 The Employer agrees to administer a voluntary check-off of employee 
contributions to the Union's political education and action fund. The 
program shall include the following provisions: 
1. Contributions to the political education and action fund are voluntary 
for employees. 
2. The Union is responsible for obtaining check-off authorization from 
each employee who wishes to have a voluntary payroll deduction. 
3. The Union will reimburse Kaiser Permanente for the costs of 
administering the payroll deduction. 
310 The parties agree that the program will be implemented during the first six 
months after ratification of the Agreement based on the Employer's systems 
capabilities."
G – Indemnification,"311 The Association shall indemnify the Employer and hold it harmless against 
any and all suits, claims, demands and liabilities that shall arise out of or by 
reason of any action that shall be taken by the Employer for the purpose of 
complying with the foregoing section of this Article."
H – No Discrimination,"312 No employee or applicant for employment covered by this Agreement 
shall be discriminated against because of membership in the Association 
or activities on behalf of the Association, and the Association agrees that 
employees covered hereby shall be admitted to membership without 
discrimination. Neither the Employer nor the Association shall discriminate 
for or against any employee or applicant for employment covered by this 
Agreement, nor for purposes of hiring, wage rates, training, upgrading, 
promotion, transfer, layoff, recall, classification, or discipline on account of 
race, color, religion, national origin, age, sex, or political affiliation. It is the 
continuing policy of the Employer and the Association that the provisions of 
this agreement shall be applied to all employees without regard to race, 
color, religious creed, national origin, age, sex, sexual orientation, political 
affiliation, marital status, handicap, medical condition, disabled veteran, and 
veterans of the Vietnam era as defined by Federal and State laws."
I – Association Assistance,"313 In the application and administration of this Agreement, the Employer shall, 
at all times, have the right to call upon the Association for assistance in 
joint interpretation or discussion of any problem which affects a Nurse or 
a group of Nurses. The Association shall honor such requests promptly and 
seek, in conjunction with the Employer, a harmonious solution to such 
problems as may arise. 
314 The Employer intends to meet its obligations under the National Labor 
Relations Act (NLRA) regarding changes in policies or procedures 
affecting terms and conditions of employment of Registered Nurses covered 
by this Agreement. When required, notice will be provided to the CNA 
Kaiser Division Director for policies and procedures that are applicable on 
a regional basis, and to the assigned CNA Labor Representative for those 
policies and procedures that are facility specific."
